id,tale,culture,variation_angle,illustrator_style,tone,length,channel_theme,image_query,image_file
001,Cinderella,French,"the original Perrault ending, before Disney softened it",Gustave Dore,melancholic and fable-like,350,Forgotten Tales,,
002,Sleeping Beauty,French,"Perrault's original second half, rarely adapted",Gustave Dore,eerie and dreamlike,350,Forgotten Tales,,
003,Puss in Boots,French,told from the miller's youngest son's doubt and desperation,Gustave Dore,wry and cunning,350,Forgotten Tales,,
004,Little Red Riding Hood,French,"Perrault's darker original ending, no woodsman rescue",Gustave Dore,tense and cautionary,350,Forgotten Tales,,
005,Bluebeard,French,the forbidden-room tale in its full unsettling original form,Gustave Dore,dread-laced and gothic,350,Forgotten Tales,,
006,Hansel and Gretel,German,"the original Grimm version, starker and hungrier than the modern retelling",Arthur Rackham,bleak and haunting,350,Forgotten Tales,,
007,Snow White,German,"the original Grimm ending, with the stepmother's true fate",Arthur Rackham,grim and fable-like,350,Forgotten Tales,,
008,Rumpelstiltskin,German,"told from the miller's daughter's desperation, not the imp's trickery",Arthur Rackham,tense and folkloric,350,Forgotten Tales,,
009,The Frog Prince,German,"the original violent transformation, before the tender kiss",Arthur Rackham,strange and abrupt,350,Forgotten Tales,,
010,The Juniper Tree,German,"one of Grimm's darkest and least-adapted tales, told in full",Arthur Rackham,somber and haunting,350,Forgotten Tales,,
011,Rapunzel,German,"the original version, before the tale was softened for children",Arthur Rackham,wistful and tragic,350,Forgotten Tales,,
012,The Little Mermaid,Danish,"Andersen's original tragic ending, not the Disney one",Edmund Dulac,bittersweet and lyrical,350,Forgotten Tales,,
013,The Snow Queen,Danish,"the full multi-chapter journey, rarely told in full",Edmund Dulac,cold and wondrous,350,Forgotten Tales,,
014,The Nightingale,Danish,told from the mechanical bird's growing obsolescence,Edmund Dulac,delicate and melancholic,350,Forgotten Tales,,
015,The Red Shoes,Danish,"Andersen's unsettling morality tale, told without softening",Edmund Dulac,feverish and unsettling,350,Forgotten Tales,,
016,Thumbelina,Danish,"the original journey through danger, before the storybook version",Edmund Dulac,delicate and perilous,350,Forgotten Tales,,
017,The Snow Maiden,Russian,"the Slavic folk variant, not the Rimsky-Korsakov opera version",Ivan Bilibin,wintry and wistful,350,Forgotten Tales,,
018,Vasilisa the Beautiful,Russian,the full tale including Baba Yaga's true bargain,Ivan Bilibin,eerie and resolute,350,Forgotten Tales,,
019,The Firebird,Russian,told from Ivan Tsarevich's growing doubt about the bargain he made,Ivan Bilibin,shimmering and fateful,350,Forgotten Tales,,
020,Baba Yaga,Russian,a lesser-known variant where the witch is neither wholly good nor evil,Ivan Bilibin,ambiguous and folkloric,350,Forgotten Tales,,
021,Koschei the Deathless,Russian,the full quest to find the needle in the egg,Ivan Bilibin,grim and mythic,350,Forgotten Tales,,
022,East of the Sun and West of the Moon,Norwegian,"the full journey, including the winds who aid her",Kay Nielsen,windswept and yearning,350,Forgotten Tales,,
023,The Three Billy Goats Gruff,Norwegian,told from the troll's hunger and isolation,Kay Nielsen,stark and elemental,350,Forgotten Tales,,
024,The Princess on the Glass Hill,Norwegian,the overlooked youngest son's full trial,Kay Nielsen,earthy and triumphant,350,Forgotten Tales,,
025,The Trolls of Skogen,Swedish,"a lesser-known Bauer troll tale, rarely translated in full",John Bauer,quiet and uncanny,350,Forgotten Tales,,
026,Aladdin,Middle Eastern,"the original Arabian Nights version, without the Disney genie",Edmund Dulac,opulent and cunning,350,Forgotten Tales,,
027,Ali Baba and the Forty Thieves,Middle Eastern,"told from Morgiana's resourcefulness, not Ali Baba's luck",Edmund Dulac,tense and clever,350,Forgotten Tales,,
028,Sinbad the Sailor,Middle Eastern,"the first voyage, in its original strange and perilous form",Edmund Dulac,adventurous and uncanny,350,Forgotten Tales,,
029,The Fisherman and the Jinni,Middle Eastern,the frame story rarely told outside the full 1001 Nights,Edmund Dulac,clever and fatalistic,350,Forgotten Tales,,
030,The Bamboo Cutter's Daughter,Japanese,"the original Kaguya-hime tale, before modern children's adaptations",Japanese ukiyo-e style,otherworldly and wistful,350,Forgotten Tales,,
031,Urashima Taro,Japanese,the full tale of the fisherman who visits the Dragon Palace,Japanese ukiyo-e style,melancholic and timeless,350,Forgotten Tales,,
032,The Crane Wife,Japanese,"told from the crane's perspective, not the weaver's",Japanese ukiyo-e style,quiet and sorrowful,350,Forgotten Tales,,
033,Momotaro the Peach Boy,Japanese,a lesser-told variant of the peach boy's origin,Japanese ukiyo-e style,heroic and folkloric,350,Forgotten Tales,,
034,The Legend of the White Snake,Chinese,the tragic original before it was softened into romance,classical Chinese painting style,tragic and mythic,350,Forgotten Tales,,
035,The Cowherd and the Weaver Girl,Chinese,"the full Qixi legend, including their yearly reunion",classical Chinese painting style,yearning and celestial,350,Forgotten Tales,,
036,Journey to the West: Monkey King's Origin,Chinese,"the birth-from-stone myth, before the pilgrimage begins",classical Chinese painting style,wild and mythic,350,Forgotten Tales,,
037,The Butterfly Lovers,Chinese,"the full tragic tale, rarely told outside opera adaptations",classical Chinese painting style,tragic and lyrical,350,Forgotten Tales,,
038,Savitri and Satyavan,Indian,"the full tale of Savitri's bargain with Yama, god of death",Mughal miniature painting style,resolute and devotional,350,Forgotten Tales,,
039,The Tiger King's Gift,Indian,a Panchatantra fable rarely told outside its original collection,Mughal miniature painting style,witty and moralistic,350,Forgotten Tales,,
040,Nala and Damayanti,Indian,"the full Mahabharata romance, in its original episodic form",Mughal miniature painting style,sweeping and tragic,350,Forgotten Tales,,
041,The Children of Lir,Irish,"the full 900-year transformation myth, rarely told in full",Arthur Rackham,sorrowful and ancient,350,Forgotten Tales,,
042,Tam Lin,Scottish,"the original ballad tale, before it was softened for children",Arthur Rackham,eerie and defiant,350,Forgotten Tales,,
043,The Selkie Bride,Scottish,told from the selkie's longing for the sea she lost,Arthur Rackham,melancholic and wistful,350,Forgotten Tales,,
044,The Tortoise and the Hare,Greek,a lesser-known Aesop variant with a different moral entirely,Walter Crane,wry and instructive,350,Forgotten Tales,,
045,The Fox and the Grapes,Greek,"expanded into a full narrative, not just the one-line fable",Walter Crane,wry and knowing,350,Forgotten Tales,,
046,Pandora's Box,Greek,"the original myth, before it was softened into a cautionary tale",Walter Crane,fateful and mythic,350,Forgotten Tales,,
047,Orpheus and Eurydice,Greek,told from Eurydice's perspective in the underworld,Walter Crane,haunting and tragic,350,Forgotten Tales,,
048,Jack and the Beanstalk,English,"the original tale's darker, more ambiguous morality",Walter Crane,brash and uncanny,350,Forgotten Tales,,
049,The Goose Girl,English,"the servant's betrayal and the princess's quiet endurance, in full",Walter Crane,patient and vindicated,350,Forgotten Tales,,
050,Tam Lin's Sister: The Well at the World's End,English,a lesser-known English fairy tale rarely retold today,Walter Crane,gentle and folkloric,350,Forgotten Tales,,
