id,tale,culture,variation_angle,illustrator_style,tone,target_words,category,image_query,image_file
101,The Fall of Icarus,Greek,the complete indifference of the world as the boy plunges into the sea,Pieter Bruegel the Elder,nihilistic and cold,350,Single Tales,"Landscape with the Fall of Icarus" Bruegel,
102,Saturn Devouring His Son,Roman,the madness of supreme power consuming its own blood out of pure terror,Francisco Goya,visceral and horrifying,350,Single Tales,"Saturn Devouring His Son" Goya,
103,The Nightmare,English Folklore,the demonic incubus sitting upon the chest of the paralyzed dreamer,Henry Fuseli,suffocating and macabre,350,Single Tales,"The Nightmare" Fuseli,
104,The Siren and the Drowned Sailor,Celtic,the predatory lure of beauty beneath the freezing black waves,John William Waterhouse,melancholic and fatal,350,Single Tales,The Siren Waterhouse,
105,Ivan the Terrible and His Son,Russian History / Legend,the agonizing moment after the strike when regret comes too late,Ilya Repin,harrowing and tragic,350,Single Tales,"Ivan the Terrible and His Son Ivan" Repin,
106,Takiyasha the Witch and the Skeleton Spectre,Japanese,the summoning of the colossal giant skeleton in the ruined palace,Utagawa Kuniyoshi,epic and dread-filled,350,Single Tales,"Takiyasha the Witch and the Skeleton Spectre" Kuniyoshi,
107,Echo and Narcissus,Greek,the eternal punishment of starving oneself while worshipping a false reflection,John William Waterhouse,tragic and obsessive,350,Single Tales,"Echo and Narcissus" Waterhouse,
108,The Apparition of Salome and John the Baptist,Biblical Folklore,the floating severed head radiating holy light before the petrified dancer,Gustave Moreau,mystic and sinister,350,Single Tales,"The Apparition" Moreau,
109,The Isle of the Dead,European Myth,the silent ferryman Charon rowing a shrouded soul to eternal tomb cliffs,Arnold Böcklin,somber and desolate,350,Single Tales,"Isle of the Dead" Bocklin,
110,The Death of Marat,Historical Folklore,the cold final silence inside the bloodied bath of the revolution,Jacques-Louis David,stark and eerie,350,Single Tales,"The Death of Marat" David,
111,Lady Lilith,Hebrew Folklore,the primordial temptress combing her golden hair of deadly enchantment,Dante Gabriel Rossetti,sensual and predatory,350,Single Tales,"Lady Lilith" Rossetti,
112,The Ghost of Mae Nak Phra Khanong,Thai Folklore,the decomposing mother clinging to her mortal husband beyond death,Traditional Siamese Art,chilling and sorrowful,350,Single Tales,"Mae Nak Phra Khanong" painting,
113,Goya Witches' Sabbath (The Great He-Goat),Spanish Folklore,the mindless terror and devotion of mortals kneeling before the horned devil,Francisco Goya,grotesque and manic,350,Single Tales,"Witches' Sabbath" Goya,
114,Dante and Virgil in Hell,Italian / Divine Comedy,the feral brutality of damned souls tearing each other's flesh in the abyss,William-Adolphe Bouguereau,violent and apocalyptic,350,Single Tales,"Dante and Virgil" Bouguereau,
115,The Crying Woman (La Llorona),Mexican Folklore,the eternal wail along the riverbanks searching for drowned sons,Jose Guadalupe Posada,haunting and restless,350,Single Tales,"La Llorona" art,
